"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000000003.18",46.3017448975117,0.516385643415822,0.86268048467223,0.598582734385165,0.549451172438314,0.658044565649414,"TSPAN6"
"ENSG00000000419.16",1216.9240783874,1.56745980862698,0.227673981372842,6.88466815213325,5.79223988899906e-12,4.02617049530209e-11,"DPM1"
"ENSG00000000457.16",480.104932220506,-0.782777905680762,0.324815263400712,-2.40991724799299,0.0159561391917459,0.0363628738795939,"SCYL3"
"ENSG00000000460.19",779.830738128312,2.25110532656529,0.262147610253903,8.58716707119695,8.9139965205385e-18,9.16691631514792e-17,"FIRRM"
"ENSG00000000938.15",360.257472374533,-5.60186494278641,0.561089107621348,-9.98391319078472,1.79254625677696e-23,2.59099527160219e-22,"FGR"
"ENSG00000000971.19",108.805189313886,-2.22664139977326,0.607823560153066,-3.66330222410684,0.000248984475546927,0.000795512619303372,"CFH"
"ENSG00000001036.16",206.399089662084,0.814082308067199,0.437304345392899,1.86159208488034,0.0626606098188481,0.119958486748116,"FUCA2"
"ENSG00000001084.15",1003.51057271407,0.292166720602897,0.267070868263858,1.09396701520529,0.273969444996563,0.397582512111366,"GCLC"
"ENSG00000001167.17",1375.36084394316,0.35890101317354,0.21791215850522,1.64699856876018,0.0995583400167517,0.177157983776579,"NFYA"
"ENSG00000001460.20",106.098974489926,0.472233385121114,0.617643072358834,0.764573272582194,0.444525689578392,0.566064215192878,"STPG1"
"ENSG00000001461.21",1540.67797464774,-0.434339127201091,0.216390961442371,-2.00719625397461,0.0447287703453468,0.089699443556836,"NIPAL3"
"ENSG00000001497.20",2445.14240723711,1.8648064338571,0.207748055315482,8.97628827872898,2.80054968700509e-19,3.15606072851152e-18,"LAS1L"
"ENSG00000001561.9",702.034435335385,0.363383998719572,0.270415215662121,1.34380011801412,0.179013031341995,0.285219738087617,"ENPP4"
"ENSG00000001629.12",1366.03318466686,0.353571224663928,0.290430942463686,1.21740204974247,0.223451283564736,0.339552971053293,"ANKIB1"
"ENSG00000001630.20",1103.9406437903,2.45597665107929,0.237161184305129,10.355727722794,3.94177480011714e-25,6.21974645628959e-24,"CYP51A1"
"ENSG00000001631.19",1319.06258837055,-0.542100187577763,0.220019458891122,-2.46387383329592,0.0137444482667833,0.0317960949586221,"KRIT1"
"ENSG00000002016.20",411.62578980997,-0.0754022775259241,0.351982347017087,-0.214221759031181,0.830374128672491,0.883032726538105,"RAD52"
"ENSG00000002330.16",207.200285922172,1.58901696300387,0.495618127030862,3.20613164922621,0.00134532423591108,0.00382547440153921,"BAD"
"ENSG00000002549.15",1734.69117370005,2.67435267686234,0.215991007973815,12.381777843208,3.27995615929063e-35,8.10821982864641e-34,"LAP3"
"ENSG00000002586.22",2578.44750131144,-0.159104785682184,0.246385174053052,-0.645756329672359,0.518437173895421,0.631871553307103,"CD99"
"ENSG00000002726.23",10.4519179594577,-1.17978323784435,1.69190319079723,-0.697311314418902,0.48560798881374,0.60242509427437,"AOC1"
"ENSG00000002822.18",598.267809845346,0.100006253901413,0.289164690918286,0.345845315981795,0.729458966923396,0.804796463936426,"MAD1L1"
"ENSG00000002834.21",4843.24851940686,0.41407580124151,0.170912436048751,2.42273652411929,0.0154040943751396,0.035233896529234,"LASP1"
"ENSG00000002919.17",789.765707070263,1.73559451123683,0.26062005593378,6.65948176942229,2.74794785692967e-11,1.8139654425648e-10,"SNX11"
"ENSG00000003056.10",5497.61997442602,1.35069019251213,0.174774858287841,7.72817215098324,1.09101741673637e-14,9.26331916755208e-14,"M6PR"
"ENSG00000003096.17",71.512066886386,2.45976846592002,0.710618267488053,3.46144840128441,0.000537277102659443,0.00163043391461747,"KLHL13"
"ENSG00000003147.21",9.41240361947409,-0.821640464637,1.76582644559976,-0.465300803872563,0.64171605920107,0.734990736769529,"ICA1"
"ENSG00000003393.18",552.631176885772,0.450021758971512,0.299057636223308,1.50479942480211,0.132375651698778,0.224248625239935,"ALS2"
"ENSG00000003400.18",673.973513471202,-1.55485347921739,0.274180280387248,-5.6709165116519,1.42035607058357e-08,7.46248113160557e-08,"CASP10"
"ENSG00000003402.23",8528.74529607052,2.3596843451457,0.176571536044591,13.363899969414,9.82771272916438e-41,3.06135633027056e-39,"CFLAR"
"ENSG00000003436.18",74.0251568584422,-1.4197330066233,0.70245104077059,-2.02111310856035,0.0432680576837512,0.0871053130359251,"TFPI"
"ENSG00000003509.18",498.481045439241,0.0295816978275558,0.321543037309434,0.0919991864077844,0.926698686004184,0.949699923653078,"NDUFAF7"
"ENSG00000003756.19",4493.88450905916,-1.29683206615384,0.190470385867055,-6.80857583319546,9.85696273632785e-12,6.73262329018327e-11,"RBM5"
"ENSG00000004059.13",1126.27604728332,0.799640325071993,0.243276294484992,3.28696360146724,0.00101273922877798,0.00293913874312117,"ARF5"
"ENSG00000004139.16",1231.26406630432,0.99304055024172,0.224108309305629,4.43107421281491,9.37648094606472e-06,3.64216973412611e-05,"SARM1"
"ENSG00000004142.14",2729.7162097069,2.79963704678277,0.188894150957997,14.8211950056903,1.06866222408822e-49,4.70455365407968e-48,"POLDIP2"
"ENSG00000004399.15",1031.13693740488,-2.88807864942525,0.24804795526083,-11.6432269977325,2.48434541635924e-31,5.23531675609167e-30,"PLXND1"
"ENSG00000004455.20",5935.53796180862,2.85871992464288,0.171391780375673,16.6794458776078,1.84926285314039e-62,1.28727387488278e-60,"AK2"
"ENSG00000004468.15",215.747788440581,3.5324590479529,0.462428051639864,7.63893763673307,2.19021353407263e-14,1.81798094550101e-13,"CD38"
