"pathway","pval","padj","log2err","ES","NES","size","TERM"
"GO:0051301",7.58086056476049e-25,1.54952789943704e-21,1.29512308741004,0.641785470158291,1.97617250528046,333,"cell division"
"GO:0000398",1.74873043477128e-19,1.78720250433625e-16,1.14219120216838,0.688298767724464,2.07202042623575,172,"mRNA splicing, via spliceosome"
"GO:0006281",2.59189914445136e-18,1.32446046281464e-15,1.10533657731401,0.637907293950169,1.94590417061434,232,"DNA repair"
"GO:0006364",2.15579227842754e-18,1.32446046281464e-15,1.10533657731401,0.739703883360544,2.19733432816585,115,"rRNA processing"
"GO:0006260",3.11805093682009e-16,1.27465922297205e-13,1.03769615548758,0.752579486597469,2.19665763699724,92,"DNA replication"
"GO:0006412",3.29872214856404e-14,1.12376467861082e-11,0.965327754226083,0.638322247086728,1.92812509473125,182,"translation"
"GO:0006457",1.12103669891451e-13,3.27342716083037e-11,0.954541630725724,0.694084310256001,2.06195266427509,116,"protein folding"
"GO:0008380",5.59305118153844e-12,1.42902457688307e-09,0.887074988399873,0.64404992407989,1.93387295336899,151,"RNA splicing"
"GO:0000278",7.3899374701709e-10,1.67833690989215e-07,0.801215574617779,0.64987241020809,1.9315142458654,114,"mitotic cell cycle"
"GO:0007049",2.19679258021377e-09,4.49024403395695e-07,0.774939030136436,0.545841487162076,1.6701719778215,273,"cell cycle"
"GO:0006397",6.74622335888304e-09,1.25357095868699e-06,0.761460801445585,0.601798161014382,1.80486651445307,149,"mRNA processing"
"GO:1904874",1.49766968744005e-08,2.55103070093955e-06,0.73376198835648,0.911002328363639,2.03893279950801,15,"positive regulation of telomerase RNA localization to Cajal body"
"GO:0006413",1.62772382905806e-08,2.55928269738052e-06,0.73376198835648,0.751706449603087,2.05735780326715,48,"translational initiation"
"GO:0006915",2.42966738296091e-08,3.54731437912294e-06,0.73376198835648,0.484662835676471,1.49776909799058,452,"apoptotic process"
"GO:0000724",2.60693925210399e-08,3.55238922086703e-06,0.73376198835648,0.687306895578843,1.9588716285951,72,"double-strand break repair via homologous recombination"
"GO:0006096",3.4673289709684e-08,4.42951276041213e-06,0.719512826338911,0.838689724135635,2.07540264034294,26,"glycolytic process"
"GO:0032981",5.81266680056043e-08,6.98887702373266e-06,0.719512826338911,0.725965778447493,2.00624230167216,52,"mitochondrial respiratory chain complex I assembly"
"GO:0001649",7.37736717437716e-08,8.28221758477327e-06,0.704975715167238,0.681285225526671,1.93741472927775,69,"osteoblast differentiation"
"GO:0007059",7.69873454553288e-08,8.28221758477327e-06,0.704975715167238,0.675911022293273,1.93038062318993,73,"chromosome segregation"
"GO:0006270",9.93327838921706e-08,9.6683909655046e-06,0.704975715167238,0.837285366363707,2.02778210523226,23,"DNA replication initiation"
"GO:1904871",9.56287372255843e-08,9.6683909655046e-06,0.704975715167238,0.934081160820407,1.94324960905029,11,"positive regulation of protein localization to Cajal body"
"GO:0008283",2.59577028473588e-07,2.31994618960649e-05,0.674962860011025,0.62452555022797,1.84094481523865,104,"cell population proliferation"
"GO:0043066",2.61050696482139e-07,2.31994618960649e-05,0.674962860011025,0.500789565252048,1.54177627004134,337,"negative regulation of apoptotic process"
"GO:0010498",3.12535418817691e-07,2.66175998359733e-05,0.674962860011025,0.776997055074254,1.98729840790368,32,"proteasomal protein catabolic process"
"GO:0000076",3.80934287153019e-07,3.11451873176309e-05,0.674962860011025,0.947943699716827,1.93735935772906,10,"DNA replication checkpoint signaling"
"GO:0000082",4.28211985123856e-07,3.21268102568483e-05,0.674962860011025,0.680628470984889,1.90099926219527,60,"G1/S transition of mitotic cell cycle"
"GO:0032543",4.40093291189703e-07,3.21268102568483e-05,0.674962860011025,0.759554993403804,1.99313307495669,37,"mitochondrial translation"
