"pathway","pval","padj","log2err","ES","NES","size","TERM"
"GO:0051301",7.58086056476049e-25,1.54952789943704e-21,1.29512308741004,0.641785470158291,1.97617250528046,333,"cell division"
"GO:0000398",1.74873043477128e-19,1.78720250433625e-16,1.14219120216838,0.688298767724464,2.07202042623575,172,"mRNA splicing, via spliceosome"
"GO:0006281",2.59189914445136e-18,1.32446046281464e-15,1.10533657731401,0.637907293950169,1.94590417061434,232,"DNA repair"
"GO:0006364",2.15579227842754e-18,1.32446046281464e-15,1.10533657731401,0.739703883360544,2.19733432816585,115,"rRNA processing"
"GO:0006260",3.11805093682009e-16,1.27465922297205e-13,1.03769615548758,0.752579486597469,2.19665763699724,92,"DNA replication"
"GO:0006412",3.29872214856404e-14,1.12376467861082e-11,0.965327754226083,0.638322247086728,1.92812509473125,182,"translation"
"GO:0006457",1.12103669891451e-13,3.27342716083037e-11,0.954541630725724,0.694084310256001,2.06195266427509,116,"protein folding"
"GO:0008380",5.59305118153844e-12,1.42902457688307e-09,0.887074988399873,0.64404992407989,1.93387295336899,151,"RNA splicing"
"GO:0140289",7.06799747683352e-05,0.00212455688862466,0.538434096309916,-0.815765454457633,-2.11982351269245,12,"protein mono-ADP-ribosylation"
"GO:0051482",0.000104824006975637,0.00278260091244419,0.538434096309916,-0.728657665331585,-2.13202364506886,19,"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway"
"GO:0007162",0.000450989798037493,0.00853431985460915,0.49849310876659,-0.593189126223283,-1.95084906660159,30,"negative regulation of cell adhesion"
"GO:0043087",0.000541168273312513,0.00970305219869103,0.477270815362862,-0.432377891063025,-1.72837470769573,73,"regulation of GTPase activity"
"GO:0006968",0.000638428673956174,0.0109659513408943,0.477270815362862,-0.539776508671462,-1.82780846319174,37,"cellular defense response"
"GO:0046488",0.000975163823853175,0.0149867282402698,0.477270815362862,-0.790282444474684,-2.02395342600806,11,"phosphatidylinositol metabolic process"
"GO:0051056",0.00138752914985357,0.0190342924986624,0.45505986738723,-0.381188765884191,-1.66303342694898,100,"regulation of small GTPase mediated signal transduction"
"GO:1902430",0.00174223428139715,0.0229750120721018,0.45505986738723,-0.67494365657969,-1.93620979528821,17,"negative regulation of amyloid-beta formation"
